,store,address
0,가양점,서울특별시 강서구 양천로 431
1,가좌점,인천광역시 서구 가정로 151번길 11
2,간석점,인천광역시 남동구 경원대로 971
3,강동점,서울특별시 강동구 양재대로 1571(메르디안 쇼핑센터)
4,강릉점,강원도 강릉시 경강로 2120
5,강서점,서울특별시 강서구 화곡로 398
6,거제점,경상남도 거제시 장평로 12
7,경기하남점,경기도 하남시 하남대로 747
8,경산점,경상북도 경산시 경안로 288
9,경주점,경상북도 경주시 공단로 97
10,계룡점,충청남도 계룡시 계룡대로 304
11,계산점,인천광역시 계양구 오조산 공원로 14
12,고양터미널점,경기도 고양시 일산동구 중앙로 1036
13,광양점,전라남도 광양시 항만11로 70
14,광주계림점,광주광역시 동구 무등로 314
15,광주하남점,광주광역시 광산구 용아로 390
16,구미점,경상북도 구미시 구미대로 174
17,구월점,인천광역시 남동구 예술로 198
18,금천점,서울특별시 금천구 시흥대로 391
19,김제점,전라북도 김제시 금성로 114
20,김포점,경기도 김포시 중봉로 14
21,김포풍무점,경기도 김포시 풍무로 167
22,김해점,경상남도 김해시 김해대로 2078
23,남대구점,대구광역시 남구 대명로 116
24,내당점,대구광역시 서구 달구벌대로 1821
25,논산점,충청남도 논산시 시민로 187
26,대구수성점,대구광역시 수성구 동대구로 95
27,대전가오점,대전광역시 동구 은어송로 72
28,동광주점,광주광역시 북구 동문대로 200
29,동대문점,서울특별시 동대문구 천호대로 133
30,동대전점,대전광역시 동구 한밭대로 1282
31,동래점,부산광역시 동래구 중앙대로 1523
32,동수원점,경기도 수원시 팔달구 효원로 257
33,동청주점,충청북도 청주시 청원구 충청대로 114 지하1층
34,동촌점,대구광역시 동구 동촌로 127
35,마산점,경상남도 창원시 마산회원구 삼호로 56
36,면목점,서울시 중랑구 사가정로 332 (면목동)
37,목동점,서울특별시 양천구 목동서로 170
38,목포점,전라남도 목포시 영산로 313
39,문경점,경상북도 문경시 모전로 65
40,문화점,대전광역시 중구 계백로 1690
41,밀양점,경상남도 밀양시 점필재로 45
42,방학점,서울특별시 도봉구 도봉로 678
43,병점점,경기도 화성시 경기대로 985
44,보령점,충청남도 보령시 명암1길 17
45,부산감만점,부산광역시 남구 우암로 124
46,부산반여점,부산광역시 해운대구 선수촌로21번길 37  (반여동)
47,부산연산점,부산시 연제구 연산동 105-1
48,부산정관점,부산광역시 기장군 정관면 정관5로 50
49,부천상동점,경기도 부천시 원미구 길주로 118
50,부천소사점,경기도 부천시 소사구 경인로 532
51,부천여월점,경기도 부천시 오정구 소사로 663
52,북수원점,경기도 수원시 장안구 경수대로 930
53,분당오리점,경기도 성남시 분당구 구미동 159
54,삼척점,강원도 삼척시 중앙로 258
55,삼천포점,경상남도 사천시 중앙로 165
56,상인점,대구광역시 달서구 월배로 183
57,서귀포점,제주특별자치도 서귀포시 중앙로 180
58,서대전점,대전광역시 유성구 대정로 23
59,서면점,부산광역시 부산진구 동천로 4
60,서부산점,부산광역시 사상구 광장로 7
61,서수원점,경기도 수원시 권선구 금곡동 160
62,서울남현점,서울시 관악구 과천대로 909
63,서울상봉점,서울특별시 중랑구 망우로 353
64,성서점,대구광역시 달서구 달구벌대로 1467
65,세종점,세종특별자치시 절재로 154
66,센텀시티점,부산광역시 해운대구 센텀동로 6
67,송탄점,경기도 평택시 경기대로 1103
68,순천점,전라남도 순천시 신월큰길 10
69,순천풍덕점,전라남도 순천시 팔마로 222
70,시화점,경기도 시흥시 희망공원로 269
71,시흥점,서울특별시 금천구 시흥대로 201
72,신내점,서울특별시 중랑구 신내로 201
73,신도림점,서울특별시 구로구 경인로 661
74,아시아드점,부산광역시 연제구 종합운동장로 7
75,안동점,경상북도 안동시 경동로 656
76,안산고잔점,경기도 안산시 단원구 광덕대로 175
77,안산선부점,경기도 안산시 단원구 삼일로 316
78,안양점,경기도 안양시 동안구 엘에스로 92
79,야탑점,경기도 성남시 분당구 성남대로925번길 16
80,영도점,부산광역시 영도구 대교로14번길 57
81,영등포점,서울특별시 영등포구 당산로 42
82,영주점,경상북도 영주시 대학로 29
83,영통점,경기도 수원시 영통구 봉영로 1576
84,오산점,경기도 오산시 수청동 252
85,오창점,충청북도 청원군 오창읍 중심상업1로 8-11
86,울산남구점,울산광역시 남구 수암로 148
87,울산동구점,울산광역시 동구 방어진 순환도로 637
88,울산북구점,울산광역시 북구 신답로 26
89,울산점,울산광역시 중구 번영로 475
90,원주점,강원 원주시 치악로 1489
91,원천점,경기도 수원시 영통구 중부대로 437
92,월곡점,서울특별시 성북구 화랑로 76
93,월드컵점,서울시 마포구 성산동 515 홈플러스월드컵점
94,유성점,대전광역시 유성구 한밭대로 502
95,의정부점,경기도 의정부시 청사로 38
96,익산점,전라북도 익산시 무왕로 1035
97,인천논현점,인천광역시 남동구 청능대로 596
98,인천송도점,인천광역시 연수구 송도동 168-3
99,인천숭의점,인천광역시 남구 석정로 51
100,인천연수점,인천광역시 연수구 청능대로 210
101,인천청라점,인천광역시 서구 중봉대로 587
102,인하점,인천시 미추홀구 소성로 6
103,일산점,경기도 고양시 일산동구 중앙로 1275번길 64
104,작전점,인천광역시 계양구 계양대로 27
105,잠실점,서울특별시 송파구 올림픽로35가길 16
106,장림점,부산광역시 사하구 다대로 225
107,전주완산점,전라북도 전주시 완산구 기린대로 170
108,전주점,전라북도 전주시 덕진구 백제대로 771
109,전주효자점,전라북도 전주시 완산구 용머리로 31
110,조치원점,세종특별자치시 조치원읍 허만석로 60
111,죽도점,경상북도 포항시 북구 중흥로 328
112,중계점,서울특별시 노원구 동일로 204가길 12
113,진접점,경기도 남양주시 진접읍 장현리 216-1
114,진주점,경상남도 진주시 대신로 304
115,진해점,경상남도 창원시 진해구 충장로 356
116,창원점,경상남도 창원시 의창구 창원대로 415
117,천안신방점,충청남도 천안시 동남구 신촌1길 23
118,천안점,충청남도 천안시 동남구 천안대로 574 (구성동)
119,청주성안점,충청북도 청주시 상당구 사직대로 346
120,청주점,충청북도 청주시 흥덕구 서부로 1291
121,춘천점,강원도 춘천시 김유정로 1840
122,칠곡점,대구광역시 북구 동암로12길 8
123,킨텍스점,경기도 고양시 일산서구 호수로 817
124,파주문산점,경기도 파주시 문산읍 방촌로 1759
125,파주운정점,경기도 파주시 청암로 17번길 17 (목동동927번지)
126,평촌점,경기도 안양시 동안구 동안로 162
127,평택안중점,경기도 평택시 안중읍 서동대로 1489
128,포천송우점,경기도 포천시 소흘읍 솔모루로 9
129,포항점,경상북도 포항시 남구 중흥로 77
130,합정점,서울시 마포구 양화로 45
131,해운대점,부산광역시 해운대구 해운대해변로 140
132,화성동탄점,경기도 화성시 동탄중앙로 200
133,화성향남점,경기도 화성시 향남읍 향남로 402
